"apple_id","weight"
"1",3.87869376925397
"2",7.37134879793335
"3",2.76403418687844
"4",6.38892184799953
"5",5.07603502531362
"6",4.7557042742215
"7",5.01380486554026
"8",6.0760051006694
"9",5.89628034475041
"10",5.46004402481386
"11",5.6010453606836
"12",5.9148602480999
"13",6.17974547990353
"14",3.55028126499436
"15",5.85419274557548
"16",4.02302058032563
"17",4.5067468253028
"18",3.93413925865723
"19",5.39025844666386
"20",6.45041087716296
"21",5.42851197754987
"22",5.741506539628
"23",5.02307106574604
"24",5.86281775855633
"25",3.3600448250744
"26",4.69972669946121
"27",4.249933347748
"28",5.21389986435533
"29",4.64309994506139
"30",4.30451576823351
"31",5.84653792107345
"32",2.4371128556514
"33",6.48449781980247
"34",5.4851936159014
"35",4.58388686019145
"36",5.67664233607066
"37",5.45515645692645
"38",5.30418221106526
"39",5.91266925682742
"40",6.00047583738907
"41",7.22051990063145
"42",4.49796053739054
"43",6.12636720867167
"44",5.77924200436101
"45",3.63647483794591
"46",5.01134408015664
"47",4.97652482024357
"48",3.6332357322176
"49",6.05580333261057
"50",6.42885707005037
"51",3.12671317045959
"52",6.57259000105009
"53",5.12749983602676
"54",5.68942353591181
"55",5.90828266694652
"56",4.98102936585243
"57",4.75340731048578
"58",4.94509166367571
"59",6.12892119373456
"60",4.57591434798241
"61",6.61451560087519
"62",5.41503477039475
"63",5.84072165004932
"64",3.97466351699346
"65",6.81631079953986
"66",5.84969313850934
"67",5.02530312641797
"68",7.87509454351768
"69",4.34963365350013
"70",4.99057201558286
"71",3.14742394217655
"72",5.91292544924391
"73",5.49114872471301
"74",5.29999944432954
"75",5.91127700674911
"76",4.32467954598201
"77",3.91296253107221
"78",5.77558273809031
"79",6.0695464839067
"80",3.42212641612409
"81",4.43712901437218
"82",4.36304631656426
"83",4.74495859232033
"84",4.81813135168971
"85",5.36080711152879
"86",4.37459050694889
"87",3.16610922849255
"88",6.41373205035691
"89",3.39580172542958
"90",5.4223649531127
"91",5.22472359052528
"92",4.92822727468119
"93",6.14202910409816
